fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220427 211650	0	0	0	1	auto	depthwise	256	0	1	0.107009146662778	0.772438864661381	10	24	0.022920574961851	20	10839000	25
20220427 211849	0	0	0	1	auto	depthwise	256	0	1	0.286289922899683	0.47430069193244	10	8	0.0193378326264792	12	11750000	26
20220427 212233	0	0	0	1	auto	depthwise	256	0	1	0.0650386825245805	0.70732478775084	1	5	0.00955186433566269	15	12292000	27
20220427 212627	0	0	0	1	auto	depthwise	256	0	1	0.180585221203044	0.978853592807427	7	2	0.0384433477282679	183	9569000	28
20220427 212938	0	0	0	1	auto	depthwise	256	0	1	0.26683072612097	0.377812910703942	3	26	0.0423719761087947	5	6340000	29
20220427 214148	0	0	0	1	auto	depthwise	256	0	1	0.0178820340130478	0.243868289245293	6	15	0.0305840091765276	173	10659000	30
20220427 214732	0	0	0	1	auto	depthwise	256	0	1	0.251358106087311	0.852657416565344	2	21	0.0121246248900813	3	8583000	31
20220427 220305	0	0	0	1	auto	depthwise	256	0	1	0.0100746225790399	0.364020401154039	7	4	0.0183635681730169	632	13598000	32
20220427 222456	0	0	0	1	auto	depthwise	256	0	1	0.0101462657966799	0.806986529404326	3	2	0.0184209884914265	1085	12656000	33
20220427 230207	0	0	0	1	auto	depthwise	256	0	1	0.0100569157232484	0.750422988950007	7	8	0.0203088557692833	477	12753000	34
20220427 231212	0	0	0	1	auto	depthwise	256	0	1	0.0113671605285498	0.248287812103258	6	2	0.0247976008166594	985	12447000	35
20220427 231945	0	0	0	1	auto	depthwise	256	0	1	0.0108490399683727	0.200394489145458	8	7	0.0083576183596975	41	12292000	36
20220427 233500	0	0	0	1	auto	depthwise	256	0	1	0.0135241274803487	0.201590114383395	8	20	0.016205108698301	269	13488000	37
20220427 233635	0	0	0	1	auto	depthwise	256	0	1	0.147846039720226	0.201183311539606	7	5	0.0174553047888562	57	12792000	38
20220427 235403	0	0	0	1	auto	depthwise	256	0	1	0.0100137338606364	0.469152042439312	8	3	0.0157397998942389	849	13741000	39
20220428 000618	0	0	0	1	auto	depthwise	256	0	1	0.010074308817416	0.325024771796973	9	3	0.0192639245760435	663	13269000	40
20220428 003158	0	0	0	1	auto	depthwise	256	0	1	0.0102664053700402	0.204132446818914	7	24	0.00848238741930009	64	12224000	42
20220428 005800	0	0	0	1	auto	depthwise	256	0	1	0.0112578284050393	0.402902916245895	8	14	0.0167775502474063	343	12788000	43
20220428 005901	0	0	0	1	auto	depthwise	256	0	1	0.299995124725	0.601210395273703	2	2	0.00840693093874255	17	11031000	44
20220428 012207	0	0	0	1	auto	depthwise	256	0	1	0.0102543277761453	0.99861345361832	7	3	0.013336460673947	564	13272000	45
20220428 014051	0	0	0	1	auto	depthwise	256	0	1	0.0104066955583734	0.201475347508274	7	2	0.0146146717482531	1923	13390000	46
20220428 015847	0	0	0	1	auto	depthwise	256	0	1	0.0100588076571751	0.565306971081389	7	3	0.0148862083166464	709	13618000	47
20220428 021746	0	0	0	1	auto	depthwise	256	0	1	0.0102121168547679	0.911009448985274	10	2	0.0149067550847391	815	13115000	48
20220428 023610	0	0	0	1	auto	depthwise	256	0	1	0.0104315329988234	0.416512632447024	6	5	0.0154439455428772	562	13577000	49
20220428 025609	0	0	0	1	auto	depthwise	256	0	1	0.010211058653653	0.640540841317861	8	4	0.0156119054848278	531	13553000	50
20220428 031359	0	0	0	1	auto	depthwise	256	0	1	0.010579356064753	0.200511260158512	10	30	0.0140801233563948	329	13220000	51
20220428 031906	0	0	0	1	auto	depthwise	256	0	1	0.041371492473102	0.200126768179623	10	20	0.0153367800095496	77	13038000	52
20220428 033731	0	0	0	1	auto	depthwise	256	0	1	0.0100708757203984	0.882492895518144	10	2	0.028620729643435	789	11437000	53
20220428 035754	0	0	0	1	auto	depthwise	256	0	1	0.0101794710183648	0.200372426596827	9	26	0.0172030738255605	384	12944000	54
20220428 035939	0	0	0	1	auto	depthwise	256	0	1	0.265507433092434	0.200513629936972	9	30	0.0118591206714529	9	11168000	55
20220428 040329	0	0	0	1	auto	depthwise	256	0	1	0.0446307259151998	0.419464958216881	8	3	0.0136337787152813	159	13309000	56
20220428 045617	0	0	0	1	auto	depthwise	256	0	1	0.0101530246048901	0.968643501092833	9	30	0.0122235818518163	151	13269000	57
