Feature	Gain	Cover	Frequency
Visa_mpagominimo	0.0129682717302472	0.00832176782145697	0.0142246537869721
Visa_msaldopesos	0.0127036919133477	0.00873675528498704	0.0124465720636006
mcaja_ahorro_dolares	0.0109595061550543	0.0125422039178722	0.015968541631048
Visa_msaldototal	0.00966669809095704	0.00890349017159215	0.0107368780988203
mtransferencias_emitidas	0.0096118218125354	0.00609777186668951	0.00902718413404001
ctarjeta_visa_trx	0.0079545082386719	0.0044845738327268	0.00677038810053001
ccomisiones_otras	0.00778977845735019	0.0103302712981775	0.0113865618054368
mtarjeta_visa_debitos_automaticos	0.00680945412958104	0.00564574441023433	0.0078645922379894
mautoservicio	0.00678214818778994	0.00401199190115737	0.00752265344503334
Master_mpagospesos	0.00545448293664903	0.0045654162758377	0.00386390836040349
Visa_mlimitecompra	0.00545042147867518	0.00810463777531742	0.00591554111813985
mpagomiscuentas	0.00544979026459356	0.00473084185685653	0.00509488801504531
cproductos	0.00505113708215454	0.00536654529116808	0.00629167379039152
ctransferencias_recibidas	0.00458246341182743	0.00292247116843571	0.00386390836040349
ctarjeta_debito	0.0044894990288032	0.00525823613811278	0.00571037784236622
mcuenta_debitos_automaticos	0.00423809121197618	0.00367250231780165	0.00475294922208925
Visa_mpagado	0.0039554532309696	0.00378575537879522	0.00454778594631561
mcomisiones_mantenimiento	0.00369071458584822	0.00393654519498592	0.00324841853308258
Visa_cconsumos	0.00349759459320151	0.0030397207942408	0.0056077962044794
Visa_mconsumosdolares	0.00349242335119722	0.00222796131591867	0.00369293896392546
Master_mlimitecompra	0.0034892664110659	0.00394492649814309	0.00413745939476834
Master_fultimo_cierre	0.00306940314992426	0.00236024985784299	0.00294067361942212
Master_msaldopesos	0.00264948409713103	0.00439365260733829	0.00270131646435288
ccaja_ahorro	0.00262159183689816	0.00360836756256295	0.00188066336125833
mextraccion_autoservicio	0.00246524098831335	0.00522680656331001	0.00256454094717046
cmobile_app_trx	0.00224866788704637	0.00176888557667443	0.00259873482646606
ccomisiones_mantenimiento	0.00221026378230705	0.00185366592171547	0.00140194905111985
Master_msaldototal	0.00218378751184658	0.00262298093314816	0.00215421439562318
ctransferencias_emitidas	0.00210288206283938	0.00160218189372962	0.00198324499914515
ctarjeta_debito_trx	0.00201057663335542	0.00160139805778283	0.00270131646435288
ccuenta_debitos_automaticos	0.0019852881445319	0.0014416003689361	0.00102581637886818
mdescubierto_preacordado	0.00181529796284844	0.00354671037795224	0.00242776542998803
Master_mpagominimo	0.00180906987775382	0.000983850161181509	0.00181227560266712
matm	0.00177784866543537	0.0015684033073793	0.00157291844759788
mtarjeta_master_consumo	0.00172833036082727	0.00173031660439452	0.00150453068900667
mplazo_fijo_dolares	0.00168045183987053	0.00199697060387288	0.000547102068729697
cseguro_accidentes_personales	0.00154245214903787	0.00126981048936204	0.00102581637886818
cpagomiscuentas	0.00148011267538247	0.00130476732592537	0.00136775517182424
ccallcenter_trx	0.00146150619735002	0.00366655490014805	0.00129936741323303
Visa_fultimo_cierre	0.00141754406752901	0.00245188127853998	0.00246195930928364
Master_mconsumospesos	0.00139745438368861	0.00188631243927003	0.00188066336125833
Master_cconsumos	0.00139405286417364	0.00112651204793669	0.000820653103094546
thomebanking	0.00138230888831673	0.0021550533395494	0.00181227560266712
mtarjeta_visa_descuentos	0.00131959339019873	0.0034874458900135	0.00181227560266712
ccaja_seguridad	0.00124923160367894	0.00241807273667576	0.00061548982732091
cprestamos_personales	0.00104234466011404	0.00382624899284258	0.00123097965464182
ctarjeta_visa_debitos_automaticos	0.00101346526728414	0.000786482017184535	0.00177808172337152
catm_trx	0.00100798451824007	0.00313203370287878	0.00109420413745939
cextraccion_autoservicio	0.000992300970179964	0.000592728505196966	0.00061548982732091
active_quarter	0.000986150263212616	0.00198630519278159	0.00160711232689349
Visa_mpagosdolares	0.000881479284360945	0.00185568542261023	0.00188066336125833
ctarjeta_master_trx	0.000793786058734245	0.000469225665867326	0.000410326551547273
tcallcenter	0.000675064687610873	0.00028616502419211	0.000307744913660455
internet	0.000564044386558367	0.00410591242237412	0.00136775517182424
ccajas_consultas	0.000546713079594539	0.00789327166930888	0.00147033680971106
Master_mpagado	0.000455756516333121	0.00088645979293915	0.000273551034364849
cseguro_vida	0.000451125875165507	0.000860822865634875	0.000376132672251667
mcaja_ahorro_adicional	0.00043139475822001	0.000694210297378147	0.000444520430842879
Visa_Finiciomora	0.000371291005398889	0.000819264582698011	0.000205163275773637
matm_other	0.000346757504813634	0.000695088992452256	0.000512908189434091
minversion2	0.000342182588942157	0.000964201840362428	0.00017096939647803
Visa_msaldodolares	0.000282593542912663	0.000891207741890731	0.000547102068729697
mttarjeta_master_debitos_automaticos	0.000263934244563568	0.000312206350933903	0.000239357155069243
Visa_delinquency	0.000257070182028876	0.00041055279932792	0.000376132672251667
Visa_status	0.000218955280400259	0.00208977403405082	0.000410326551547273
Master_status	0.000186437717667514	0.000565703639082449	0.000239357155069243
tpaquete9	0.00018609435772336	0.00436482666595113	0.00078645922379894
ctarjeta_master_debitos_automaticos	0.000183249248048057	0.000765259783739812	0.00017096939647803
ccajas_trx	0.000130908017944664	0.000869989252885245	0.000239357155069243
cseguro_vivienda	0.000130699420791827	0.00093364222360888	0.000273551034364849
cinversion1	9.62343633227567e-05	0.000397879120659584	6.83877585912122e-05
tmobile_app	8.42178569911114e-05	0.000586434102840809	0.000102581637886818
catm_trx_other	6.85102711715549e-05	0.000203895949732191	0.000102581637886818
mforex_sell	3.25348936038637e-05	6.78542315467213e-05	6.83877585912122e-05
ccajas_extracciones	2.85860718408919e-05	0.000379551338744492	6.83877585912122e-05
tpaquete1	2.15942776425744e-05	0.000198939560329792	3.41938792956061e-05
cplazo_fijo	1.97807814299951e-05	0.000161118227750719	3.41938792956061e-05
cforex	1.0453219093596e-05	1.41577247523078e-05	3.41938792956061e-05
Master_mconsumosdolares	7.91522779422164e-06	1.3875643663176e-05	3.41938792956061e-05
Master_msaldodolares	7.84010760115613e-06	7.1133112171275e-05	0.00017096939647803
Master_mpagosdolares	6.15485060848076e-06	7.15936781973353e-05	0.00017096939647803
Master_delinquency	3.2254515271624e-11	1.4931575527802e-05	6.83877585912122e-05
