Feature	Gain	Cover	Frequency
cliente_antiguedad	0.0124609449969813	0.0130061860781091	0.0213204243485426
ctarjeta_visa_trx	0.0107365486392102	0.0194604420420651	0.0194664744051911
ccomisiones_otras	0.0105304272863667	0.0161384903521754	0.0164795550520136
Visa_mpagominimo	0.0104879943744769	0.0120251060722721	0.0150375939849624
Visa_mfinanciacion_limite	0.0101522982912009	0.0125133611968507	0.0165825522710887
Master_mfinanciacion_limite	0.0099874148929366	0.0111613164878797	0.0184365022144402
mtransferencias_recibidas	0.00942442374321413	0.00860717441040424	0.0165825522710887
Visa_mlimitecompra	0.00934244183212093	0.0121919801132233	0.0146256051086621
mcaja_ahorro_dolares	0.0084885224753173	0.0184980935141031	0.0172005355855392
Visa_mconsumototal	0.00845813219755954	0.00729008909411783	0.0153465856421877
Master_mlimitecompra	0.00807514080107363	0.0102082783992694	0.0141106190132866
mcomisiones_otras	0.00798554631501508	0.00835474688301246	0.01215367185086
ctarjeta_master	0.00797945593363973	0.000709981327391048	0.000514986095375425
mtransferencias_emitidas	0.00785734595934024	0.0126883944403224	0.0128746523843856
Visa_cconsumos	0.0077407210818761	0.00851717684816079	0.0126686579462355
mcomisiones_mantenimiento	0.00773766528654188	0.0132242574810247	0.00875476362138222
ccomisiones_mantenimiento	0.00701614929247225	0.0155649129939694	0.00463487485837882
thomebanking	0.00694999955394743	0.00364140231524988	0.00422288598207848
cproductos	0.00646155244788857	0.00558224182298724	0.00700381089710578
mtarjeta_visa_debitos_automaticos	0.00635602744330092	0.00841735606858836	0.0123596662890102
ctransferencias_recibidas	0.00576033877585262	0.0136930722875833	0.00999073025028324
Master_mpagominimo	0.00528862300348684	0.00646703519550683	0.00597383870635493
Master_mpagospesos	0.00524104820057379	0.0139754973266446	0.00978473581213307
mcuenta_debitos_automaticos	0.00483548412861441	0.00954097327039724	0.00865176640230714
mpagomiscuentas	0.00406688571299573	0.00989292497049227	0.00896075805953239
Visa_mpagado	0.00382632317669426	0.0123008549431588	0.00690081367803069
ctarjeta_visa_debitos_automaticos	0.00376257347481234	0.00407405621994182	0.00638582758265527
Master_msaldopesos	0.00346357934566968	0.00485216663701687	0.00442888042022865
Master_status	0.00344244565634466	0.0102380647670659	0.00216294160057678
ccaja_ahorro	0.00338628205505673	0.0113367217467466	0.00370789988670306
Visa_mconsumosdolares	0.00337909934825237	0.00437993833784497	0.00628283036358018
ctransferencias_emitidas	0.00335081019094275	0.013160527222028	0.00514986095375425
ccallcenter_trx	0.00316614305216307	0.00584577953988623	0.00257493047687712
ccuenta_debitos_automaticos	0.00304203165841894	0.00832333671828801	0.00700381089710578
cpagomiscuentas	0.00295144542135039	0.00704248771239433	0.00535585539190442
mplazo_fijo_dolares	0.00279602176666301	0.0138016957557653	0.00278092491502729
Visa_mpagosdolares	0.002789001251175	0.00585103300053557	0.00391389432485323
mextraccion_autoservicio	0.00266042131472468	0.00703991376803791	0.00906375527860748
Master_fultimo_cierre	0.00260106884815986	0.00210532058479473	0.00401689154392831
tcallcenter	0.00253767587169097	0.00255798288506978	0.00113296940982593
Master_msaldototal	0.00246289075586289	0.00461209605342994	0.0041198887630034
ctarjeta_debito	0.00226596655571972	0.00264969473447248	0.00381089710577814
mdescubierto_preacordado	0.00221871449153507	0.0093054674162549	0.00185394994335153
cextraccion_autoservicio	0.00211646505655381	0.0041097093710663	0.00782778864970646
Visa_fultimo_cierre	0.00205352966195812	0.00270401400941608	0.00350190544855289
ccajas_consultas	0.00192293045125977	0.0105135924396095	0.00195694716242661
cmobile_app_trx	0.00189965706812456	0.00191610551118739	0.00329591101040272
Master_mconsumospesos	0.0015685465365039	0.00355570303899226	0.00381089710577814
matm	0.00144907209546447	0.00307675835376532	0.00442888042022865
active_quarter	0.00134567387211593	0.000200777714270951	0.000514986095375425
ccaja_seguridad	0.0013180631981886	0.00515525361222047	0.00144196106705119
catm_trx	0.00125241435915325	0.00591254624886596	0.00350190544855289
Visa_msaldodolares	0.00107571985251569	0.00275108903862218	0.00216294160057678
Visa_Finiciomora	0.00102264796948652	0.00457780025577466	0.000926974971675765
Master_cconsumos	0.00101214571068248	0.00313507930782554	0.00298691935317746
cseguro_accidentes_personales	0.00098640139602917	0.00953101431772133	0.00216294160057678
ccajas_trx	0.000828328889419417	0.00261503697589208	0.000926974971675765
Master_mconsumototal	0.000799905285158254	0.00229249962819826	0.00257493047687712
mtarjeta_master_consumo	0.000728447142947165	0.0028392617145348	0.0013389638479761
cinversion1	0.000700292455551286	0.0063754339452757	0.00082397775260068
tpaquete9	0.000674988441122721	0.00345300165372406	0.00102997219075085
tmobile_app	0.000637768836825973	0.00643217634752359	0.00102997219075085
cseguro_vivienda	0.000607672047850154	0.00123936426208668	0.000720980533525595
Master_mpagado	0.000594725385913301	0.00715873246894417	0.00123596662890102
mcheques_emitidos	0.000584138247359211	0.00240384283055374	0.000308991657225255
mttarjeta_master_debitos_automaticos	0.000565974612337054	0.0019980796062573	0.00102997219075085
Visa_delinquency	0.00054999208891318	0.00154904194246853	0.000514986095375425
tpaquete7	0.000543090014127926	0.00359483503678596	0.000514986095375425
ctarjeta_master_trx	0.000529854484676987	0.00130857420731098	0.00123596662890102
Visa_status	0.000504026984031563	0.00322364913530878	0.000514986095375425
matm_other	0.000470426866912728	0.00111745883884675	0.00144196106705119
mtarjeta_visa_descuentos	0.000321306999112959	0.00451335612939779	0.0013389638479761
Master_mconsumosdolares	0.000298245629014493	0.000280554907614778	0.00082397775260068
Master_mpagosdolares	0.000295116912651552	0.000184554826696402	0.000720980533525595
mcaja_ahorro_adicional	0.000249728017373853	0.00250892712524565	0.000514986095375425
ccajas_extracciones	0.000204064737202821	0.00254373570087819	0.000514986095375425
Visa_madelantopesos	0.000203979357281302	0.000269042539301881	0.000720980533525595
internet	0.000173330984131628	0.00257846886798465	0.000514986095375425
minversion2	0.000171244138068559	0.00312462768611265	0.00041198887630034
ccajeros_propios_descuentos	0.000162285106342964	0.00381063915668453	0.000514986095375425
cplazo_fijo	0.000130500734067352	0.00113410904140234	0.00020599443815017
ctarjeta_master_debitos_automaticos	0.00012184108616085	0.00140431287200565	0.00041198887630034
minversion1_pesos	0.000121069675711112	0.000764923979483472	0.000102997219075085
Master_madelantopesos	0.000116990384033163	0.00013401100529122	0.000514986095375425
tpaquete1	0.000116645869846303	0.00232616199423458	0.000308991657225255
catm_trx_other	0.00010982756529142	0.000854750615734495	0.000514986095375425
cforex	9.4794791083877e-05	0.000185967479751391	0.000102997219075085
Visa_madelantodolares	7.92582877879841e-05	2.99623210239589e-05	0.000102997219075085
ccajas_depositos	7.61022859652088e-05	0.00137777409806514	0.00020599443815017
mforex_sell	7.14265609730851e-05	0.000935689100379753	0.00061798331445051
mcheques_depositados	7.07775089886706e-05	0.00150888438872031	0.00020599443815017
Master_msaldodolares	6.31000094366281e-05	7.52828451902323e-05	0.000102997219075085
cseguro_vida	5.62663492376134e-05	0.000186842218653768	0.00020599443815017
ctarjeta_visa_descuentos	5.24012486667649e-05	0.000586014737771953	0.000308991657225255
ccheques_depositados	4.87862286497996e-05	0.000793549055978509	0.000102997219075085
cforex_sell	3.61860098794362e-05	0.000233218462184979	0.000308991657225255
Master_delinquency	2.73060085471339e-05	0.00010275668485398	0.000102997219075085
ctarjeta_visa	4.9394875600829e-10	7.55895065295715e-05	0.000102997219075085
mcajeros_propios_descuentos	4.64235137808828e-12	0.000128898307223877	0.000102997219075085
Master_cadelantosefectivo	9.1223017400427e-13	2.59304784969094e-05	0.000102997219075085
