fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220427 122829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	513	TRUE	0.0122615921398643	0.756123861673333	2364	155	0.0239982630776922	12759000	65
20220427 123046	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	331	TRUE	0.0101165061467459	0.999769072795002	2359	868	0.0179571089577139	13137000	66
20220427 123105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.097998310801789	0.212137946821384	2356	17	0.0157890879859187	13556000	67
20220427 123123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.112736137944882	0.260370915616197	4855	239	0.0155963371752919	13513000	68
20220427 123138	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.209425508349615	0.845901288021776	2397	16	0.0184479976207476	12779000	69
20220427 123509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	918	TRUE	0.0100537233490802	0.502636197790735	4191	1018	0.0194634485497651	13342000	70
20220427 123524	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.158545963764365	0.200423949865498	5523	300	0.018803933618912	12990000	71
20220427 123535	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.299464057105551	0.673771061542419	5145	16	0.0308085861850765	11154000	72
20220427 123625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0330864384059887	0.574109140539413	4889	499	0.0159987725596262	13428000	73
20220427 123641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.131638410956698	0.20339392271631	7980	1014	0.0160523378999452	13585000	74
20220427 123707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.13213787189556	0.551705247475347	5219	970	0.0155578674209353	13322000	75
20220427 123740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0502828596485234	0.443549159732193	2303	16	0.0153873596105721	13290000	76
20220427 123756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.11990309307737	0.200797929205805	8000	517	0.0155943851757813	13077000	77
20220427 124219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1263	TRUE	0.0104230133229295	0.201560171543405	2283	197	0.0165802908412033	13469000	78
20220427 124239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.100342383366334	0.841096669326624	2317	16	0.0190084060453567	13016000	79
